# Time-averaged data for fix fDENS
# TimeStep v_Temp v_Rho v_Volume
300000 600.064 1.02744 53035.3
600000 601.522 1.02423 53198.9
900000 600.976 1.03175 52814.1
1200000 599.743 1.0249 53165.3
1500000 580.186 1.03076 52862.4
1800000 580.462 1.03176 52812
2100000 579.905 1.03076 52862.4
2400000 580.658 1.02784 53013.6
2700000 559.439 1.03587 52601.3
3000000 560.532 1.03963 52411.7
3300000 559.686 1.03331 52732.4
3600000 561.213 1.04214 52286.2
3900000 540.023 1.05195 51797.9
4200000 539.726 1.05015 51887.3
4500000 541.688 1.04464 52161.2
4800000 540.837 1.04845 51971.9
5100000 520.448 1.05167 51811.1
5400000 520.452 1.0567 51565.4
5700000 520.258 1.05894 51455.4
6000000 519.73 1.04424 52181
6300000 499.735 1.05542 51627.7
6600000 499.613 1.05937 51437
6900000 498.938 1.05821 51491.6
7200000 500.424 1.06171 51322.2
7500000 480.088 1.07031 50909.4
7800000 480.214 1.06067 51372.2
8100000 479.779 1.06673 51080.6
8400000 481.47 1.06612 51109.1
8700000 459.716 1.07784 50554.2
9000000 460.312 1.07358 50753.9
9300000 460.315 1.08153 50380.6
9600000 460.44 1.08298 50312.9
9900000 440.713 1.08584 50181
10200000 439.777 1.08534 50203.2
10500000 440.447 1.08876 50046.2
10800000 439.367 1.09212 49892.1
11100000 419.688 1.09305 49849.9
11400000 418.753 1.08629 50159.9
11700000 420.055 1.09343 49832
12000000 419.711 1.09204 49895.5
12300000 400.595 1.10027 49522.2
12600000 399.98 1.09447 49785.2
12900000 400.28 1.1003 49520.8
13200000 399.85 1.09279 49861.2
13500000 379.928 1.10249 49422.1
13800000 379.047 1.0972 49660.7
14100000 380.207 1.10222 49434.9
14400000 379.902 1.10238 49428.1
14700000 359.917 1.10316 49392.7
15000000 359.626 1.10459 49328.4
15300000 360.033 1.10915 49125.8
15600000 359.95 1.11003 49086.5
15900000 340.452 1.11231 48986.1
16200000 340.228 1.11302 48955.2
16500000 339.27 1.10756 49196.4
16800000 339.751 1.11633 48809.2
17100000 320.318 1.11505 48865.6
17400000 319.176 1.11407 48908.6
17700000 320.004 1.11218 48992
18000000 320.098 1.11669 48794.1
18300000 300.515 1.11681 48788.9
18600000 300.162 1.11999 48650.1
18900000 300.524 1.1223 48549.8
19200000 299.557 1.12056 48625.4
19500000 280.508 1.12374 48487.7
19800000 280.036 1.12509 48429.7
20100000 280.63 1.12188 48568
20400000 280.351 1.1247 48446.3
20700000 260.16 1.12969 48232.2
21000000 259.776 1.12688 48352.6
21300000 259.831 1.12719 48339.4
21600000 259.99 1.12931 48248.5
21900000 239.78 1.13479 48015.9
22200000 240.002 1.13337 48075.7
22500000 240.012 1.13124 48165.8
22800000 240.343 1.13199 48134.4
23100000 219.602 1.13671 47934.5
23400000 219.767 1.1371 47917.8
23700000 220.093 1.13565 47979.2
24000000 220.177 1.1373 47909.5
24300000 200.278 1.14216 47705.7
24600000 200.21 1.14097 47755.5
