# Time-averaged data for fix fDENS
# TimeStep v_Temp v_Rho v_Volume
300000 601.18 0.917011 55641.8
600000 599.689 0.90908 56126.7
900000 598.252 0.909876 56076.2
1200000 600.58 0.925979 55103.3
1500000 578.847 0.935641 54533.7
1800000 580.539 0.918807 55533
2100000 580.562 0.93498 54572.4
2400000 579.089 0.929453 54895.6
2700000 560.614 0.936611 54476.1
3000000 560.238 0.935752 54527
3300000 561.524 0.936706 54470.8
3600000 559.675 0.938975 54344.1
3900000 540.401 0.944018 54051.5
4200000 539.208 0.954508 53456.4
4500000 539.403 0.947616 53844.1
4800000 540.012 0.943517 54077.2
5100000 519.632 0.955078 53423.8
5400000 519.945 0.954708 53444.5
5700000 520.952 0.953543 53509.7
6000000 521.061 0.95007 53705.8
6300000 499.637 0.958336 53241.4
6600000 500.297 0.961518 53065.6
6900000 499.604 0.957962 53262.7
7200000 500.29 0.953344 53521.1
7500000 480.165 0.979344 52099.7
7800000 480.108 0.971943 52496.1
8100000 479.463 0.973052 52436
8400000 479.801 0.96494 52877.2
8700000 460.07 0.980409 52041.6
9000000 460.896 0.981569 51981.6
9300000 459.972 0.98174 51972
9600000 459.999 0.986909 51700.7
9900000 439.915 0.986095 51743.3
10200000 439.856 0.988835 51599
10500000 439.658 0.99806 51122.6
10800000 439.723 0.990657 51505
11100000 420.334 0.989788 51548.9
11400000 420.647 0.99798 51126.3
11700000 420.252 1.00086 50980
12000000 419.275 1.00125 50959.2
12300000 399.773 1.00686 50674.5
12600000 399.689 1.00884 50576
12900000 399.746 1.00255 50892.4
13200000 399.747 1.00907 50564.1
13500000 380.692 1.01637 50200.5
13800000 381.233 1.01242 50396.5
14100000 380.786 1.00723 50656.4
14400000 380.177 1.01355 50340.5
14700000 360.422 1.0195 50047
15000000 360.326 1.01763 50139
15300000 360.085 1.01608 50215.4
15600000 360.545 1.02061 49992.1
15900000 340.424 1.02904 49582.4
16200000 340.3 1.02669 49696
16500000 340.137 1.0263 49715.7
16800000 340.658 1.02523 49766.7
17100000 320.512 1.03592 49253.1
17400000 319.606 1.03901 49106.6
17700000 320.163 1.03534 49280.8
18000000 319.377 1.03338 49374.1
18300000 299.377 1.03841 49135.2
18600000 299.453 1.03849 49131.6
18900000 300.044 1.03686 49208.4
19200000 300.086 1.03994 49063.4
19500000 280.282 1.04653 48753.6
19800000 280.063 1.04722 48721.2
20100000 280.226 1.04667 48747.2
20400000 279.479 1.04739 48713.8
20700000 260.288 1.0517 48514
21000000 260.506 1.05354 48429.2
21300000 260.394 1.05208 48496.5
21600000 260.367 1.05405 48405.5
21900000 239.93 1.05903 48178
22200000 240.515 1.05906 48177
22500000 240.582 1.05985 48140.5
22800000 240.038 1.05965 48150.2
23100000 220.172 1.0632 47989.2
23400000 219.819 1.06427 47940.8
23700000 220.144 1.06546 47887.1
24000000 219.617 1.06397 47954.4
24300000 199.88 1.06966 47698.9
24600000 199.716 1.06628 47850.2
24900000 200.119 1.06686 47824.5
25200000 200.169 1.06617 47855.6
25500000 180.215 1.07327 47538.6
