# Time-averaged data for fix fDENS
# TimeStep v_Temp v_Rho v_Volume
300000 600.485 0.941114 54438.5
600000 599.047 0.93351 54882.6
900000 599.305 0.941066 54442.5
1200000 599.301 0.949937 53933.5
1500000 580.252 0.946053 54154.9
1800000 579.349 0.950073 53926.4
2100000 580.678 0.954363 53683.4
2400000 579.975 0.953052 53757.8
2700000 558.364 0.97727 52424.8
3000000 559.524 0.964672 53111.3
3300000 559.311 0.966496 53010.8
3600000 559.73 0.966338 53020.4
3900000 539.418 0.964329 53128
4200000 539.758 0.979111 52325.9
4500000 539.456 0.974148 52592.5
4800000 539.019 0.971078 52759.8
5100000 520.977 0.984368 52046.3
5400000 519.601 0.983055 52115.9
5700000 518.91 0.987849 51863.1
6000000 520.754 0.987244 51895.8
6300000 499.336 0.992988 51594.8
6600000 499.972 0.997806 51345.3
6900000 500.282 0.996569 51409.5
7200000 499.839 0.997249 51374.4
7500000 480.303 1.00308 51075.9
7800000 479.435 0.997789 51346.4
8100000 480.65 1.01105 50672.5
8400000 480.171 1.0097 50740.2
8700000 459.015 1.01237 50607.1
9000000 460.175 1.01622 50415
9300000 460.088 1.01578 50436.7
9600000 459.359 1.01151 50650.7
9900000 439.928 1.02597 49935.9
10200000 439.178 1.02312 50076
10500000 440.002 1.02833 49820.3
10800000 440.085 1.03304 49593.7
11100000 420.367 1.03563 49470.6
11400000 419.898 1.03275 49607.9
11700000 420.588 1.03324 49584.1
12000000 419.8 1.03119 49682.8
12300000 399.998 1.03667 49419.8
12600000 400.105 1.03551 49475.9
12900000 399.783 1.0368 49414
13200000 400.067 1.03687 49410.7
13500000 380.442 1.03987 49267.8
13800000 379.508 1.04525 49014.4
14100000 380.277 1.04369 49087.5
14400000 379.218 1.04112 49209.2
14700000 359.991 1.04945 48818.6
15000000 359.399 1.05063 48763.3
15300000 360.241 1.0529 48658.1
15600000 359.637 1.04347 49098.3
15900000 339.748 1.05764 48440.1
16200000 339.897 1.05642 48495.7
16500000 339.476 1.05701 48469.4
16800000 341.13 1.05675 48480.8
17100000 320.008 1.06272 48209
17400000 321.017 1.06239 48223.2
17700000 319.515 1.06604 48058.4
18000000 319.463 1.06589 48065.2
18300000 299.647 1.06641 48041.6
18600000 299.394 1.07141 47817.5
18900000 299.923 1.06848 47948.4
19200000 299.785 1.07188 47796.3
19500000 279.34 1.07471 47670.6
19800000 279.9 1.07459 47675.7
20100000 280.049 1.07556 47632.6
20400000 278.928 1.07548 47636
20700000 259.59 1.07662 47586
21000000 260.029 1.07607 47610.4
21300000 259.819 1.07657 47588.2
21600000 260.132 1.07793 47528.2
21900000 239.812 1.08313 47299.9
22200000 240.2 1.08665 47146.4
22500000 239.772 1.08523 47208.1
22800000 240.033 1.08117 47385.6
23100000 220.265 1.08796 47090
23400000 220.106 1.08807 47085.2
23700000 219.615 1.08635 47159.5
24000000 220.18 1.08781 47096.5
24300000 199.372 1.09157 46934.3
24600000 199.632 1.09277 46882.7
24900000 199.575 1.09123 46948.4
