# Time-averaged data for fix fDENS
# TimeStep v_Temp v_Rho v_Volume
300000 599.393 0.991806 58154.6
600000 600.611 0.993273 58069.2
900000 598.784 0.993498 58055
1200000 599.316 1.0012 57607.6
1500000 579.947 1.00678 57290.6
1800000 580.682 1.00678 57288.5
2100000 579.203 1.01224 56980.9
2400000 582.011 1.01589 56775.6
2700000 560.24 1.00957 57131.1
3000000 560.836 1.00942 57141.4
3300000 559.079 1.01806 56654.6
3600000 559.462 1.007 57276.3
3900000 539.585 1.0154 56802.3
4200000 539.391 1.02092 56495
4500000 540.309 1.02124 56477.9
4800000 540.807 1.01872 56617.5
5100000 518.881 1.02475 56284
5400000 521.057 1.02245 56411.9
5700000 520.115 1.03453 55753.2
6000000 521.073 1.03141 55921.4
6300000 499.46 1.03368 55797.4
6600000 500.31 1.0226 56403.4
6900000 500.622 1.03926 55498.1
7200000 499.275 1.03258 55858.4
7500000 480.257 1.04529 55177.7
7800000 479.49 1.04592 55144.8
8100000 481.971 1.03585 55681.3
8400000 480.312 1.04335 55281.4
8700000 461.754 1.045 55193.4
9000000 459.906 1.05979 54422.5
9300000 459.209 1.04861 55004.8
9600000 459.001 1.0523 54810.7
9900000 439.201 1.06116 54353.2
10200000 439.923 1.05685 54574
10500000 440.356 1.05962 54431.9
10800000 441.077 1.05776 54528.4
11100000 420.921 1.06393 54212.7
11400000 419.604 1.07037 53885.4
11700000 420.723 1.06786 54011.4
12000000 421.088 1.06644 54084.1
12300000 399.216 1.08047 53382.2
12600000 399.983 1.07211 53797.8
12900000 399.157 1.07443 53681.6
13200000 400.411 1.0775 53528.3
13500000 379.739 1.08378 53217.9
13800000 379.903 1.08149 53330.8
14100000 379.589 1.08753 53034.7
14400000 379.923 1.09188 52822.9
14700000 360.041 1.09331 52754.3
15000000 359.247 1.09043 52893.7
15300000 359.403 1.09349 52745.1
15600000 360.013 1.08697 53062
15900000 339.332 1.09342 52749.2
16200000 340.439 1.09658 52597.1
16500000 339.052 1.09805 52526.7
16800000 339.88 1.09964 52450.4
17100000 319.932 1.10104 52383.9
17400000 320.692 1.10414 52236.9
17700000 320.07 1.105 52196
18000000 320.024 1.10111 52380.2
18300000 299.882 1.11061 51932
18600000 299.843 1.1089 52012.4
18900000 299.718 1.10583 52157
19200000 300.063 1.10811 52050
19500000 279.657 1.10957 51981
19800000 279.702 1.10988 51966
20100000 280.271 1.11329 51807.3
20400000 279.405 1.11552 51703.8
20700000 259.796 1.12159 51423.9
21000000 260.006 1.12176 51415.8
21300000 260.634 1.11775 51600.8
21600000 260.255 1.12174 51417
21900000 239.704 1.12662 51194.6
22200000 240.751 1.12385 51320.6
22500000 240.73 1.12285 51365.9
22800000 240.229 1.12344 51339.3
23100000 219.933 1.12517 51260.2
23400000 220.058 1.12624 51211.5
23700000 220.229 1.1279 51136
24000000 219.587 1.12638 51205
24300000 200.397 1.13067 51010.8
24600000 199.928 1.12878 51096.3
24900000 199.881 1.1291 51081.5
25200000 199.663 1.13312 50900.4
25500000 179.875 1.13584 50778.4
25800000 180.231 1.13629 50758.6
26100000 180.044 1.13677 50736.9
