# Time-averaged data for fix fDENS
# TimeStep v_Temp v_Rho v_Volume
300000 601.365 0.973956 60726.8
600000 600.19 0.951839 62141.8
900000 599.288 0.948034 62387
1200000 598.575 0.943039 62716.3
1500000 579.825 0.964645 61313.2
1800000 578.636 0.968462 61073.1
2100000 579.854 0.952562 62092.6
2400000 578.21 0.972 60848.8
2700000 561.351 0.969684 60995.6
3000000 559.83 0.981142 60282.1
3300000 558.907 0.973893 60734.5
3600000 560.678 0.971061 60907.5
3900000 540.688 0.986115 59981.7
4200000 540.044 0.979672 60373.9
4500000 540.692 0.978296 60459.5
4800000 540.129 0.992182 59610.8
5100000 520.563 1.00427 58893.3
5400000 519.816 1.00451 58879.3
5700000 519.253 1.01227 58427.5
6000000 519.504 0.995995 59383.9
6300000 499.081 1.01132 58481.8
6600000 499.36 1.02243 57848.1
6900000 501.229 1.00941 58592.8
7200000 499.538 1.01192 58447.7
7500000 479.816 1.02234 57852.9
7800000 480.152 1.01756 58123.8
8100000 479.799 1.02278 57828.3
8400000 480.039 1.02945 57452.2
8700000 460.29 1.04262 56726.2
9000000 459.964 1.04297 56708.7
9300000 460.419 1.03222 57297.8
9600000 460.758 1.04696 56491.2
9900000 440.379 1.0466 56511.5
10200000 439.76 1.04636 56524.1
10500000 439.774 1.04763 56455.1
10800000 440.217 1.05087 56281
11100000 419.971 1.06256 55662.4
11400000 419.555 1.05857 55871.8
11700000 420.192 1.05568 56026.6
12000000 419.446 1.05129 56258.2
12300000 399.528 1.0623 55675.6
12600000 400.705 1.07669 54932.3
12900000 399.759 1.07835 54847
13200000 400.102 1.0734 55099.7
13500000 379.948 1.09358 54083.2
13800000 380.492 1.08774 54372.7
14100000 380.677 1.08684 54417.9
14400000 380.161 1.08797 54362.2
14700000 360.201 1.09259 54131.9
15000000 360.531 1.10002 53766.5
15300000 360.137 1.08846 54337.6
15600000 359.514 1.08555 54482.8
15900000 340.283 1.09904 53814.1
16200000 339.992 1.09664 53931.1
16500000 339.991 1.10198 53671
16800000 339.944 1.0975 53889
17100000 319.1 1.11333 53123.1
17400000 319.523 1.10584 53483.1
17700000 319.68 1.11242 53166.5
18000000 320.619 1.11022 53271.9
18300000 299.577 1.11706 52945.3
18600000 300.185 1.11871 52867.9
18900000 299.603 1.11536 53026.1
19200000 300.049 1.11546 53021.6
19500000 280.139 1.12549 52549.2
19800000 279.419 1.12393 52621.9
20100000 280.585 1.1219 52717.3
20400000 280.069 1.12207 52709
20700000 260.249 1.12829 52418.3
21000000 259.991 1.12873 52398
21300000 260.359 1.13084 52300.3
21600000 260.037 1.12972 52352.3
21900000 240.336 1.13189 52251.6
22200000 239.555 1.13564 52079.7
22500000 240.512 1.13805 51969
22800000 240.261 1.1331 52196.4
23100000 220.097 1.14061 51852.7
23400000 219.664 1.13863 51942.4
23700000 220.383 1.13977 51890.2
24000000 220.469 1.13978 51890
24300000 199.679 1.14254 51764.6
24600000 200.046 1.14584 51615.6
24900000 199.765 1.14567 51623.4
25200000 200.176 1.14311 51738.6
25500000 179.917 1.15028 51416.6
25800000 179.602 1.15022 51419.3
26100000 179.951 1.15142 51365.6
26400000 179.553 1.14889 51478.7
26700000 159.914 1.15472 51218.7
27000000 159.943 1.15399 51250.7
