# Time-averaged data for fix fDENS
# TimeStep v_Temp v_Rho v_Volume
300000 599.703 0.884568 54339.7
600000 600.18 0.881735 54513.8
900000 598.775 0.90269 53248.8
1200000 600.06 0.895896 53653.2
1500000 580.001 0.889516 54039.6
1800000 579.875 0.899686 53425.9
2100000 580.301 0.906965 52997.6
2400000 580.983 0.904381 53150.7
2700000 560.213 0.896844 53597.8
3000000 559.694 0.906443 53028.6
3300000 559.65 0.897718 53543.3
3600000 559.96 0.905466 53085.7
3900000 539.161 0.903102 53225
4200000 539.879 0.901385 53328.2
4500000 540.923 0.912124 52698.3
4800000 540.426 0.907398 52972.3
5100000 519.829 0.927342 51833.6
5400000 520.913 0.906398 53030.6
5700000 520.459 0.905666 53073.5
6000000 520.149 0.910257 52806.3
6300000 500.294 0.929502 51713.5
6600000 500.904 0.919677 52264.7
6900000 499.909 0.923886 52027.4
7200000 499.662 0.925238 51951.2
7500000 479.117 0.932198 51564
7800000 480.784 0.931342 51610.6
8100000 480.031 0.933183 51507.9
8400000 481.581 0.93311 51512.2
8700000 460.163 0.929832 51694.4
9000000 459.293 0.932978 51520.4
9300000 459.72 0.932241 51561.2
9600000 459.634 0.944448 50894.7
9900000 439.808 0.939883 51141.3
10200000 440.539 0.942219 51014.5
10500000 440.745 0.95238 50470
10800000 439.823 0.954468 50359.3
11100000 420.058 0.959738 50082.9
11400000 419.848 0.96146 49994
11700000 419.648 0.961312 50000.2
12000000 419.217 0.957605 50194.5
12300000 399.898 0.966777 49718.6
12600000 399.952 0.965075 49805.9
12900000 400.04 0.957109 50220.1
13200000 400.242 0.961699 49980.3
13500000 378.994 0.961818 49974.1
13800000 379.66 0.961367 49997.6
14100000 380.315 0.964158 49853.2
14400000 379.878 0.967136 49699.3
14700000 359.634 0.966763 49718.5
15000000 359.505 0.974433 49328.1
15300000 360.053 0.97459 49319.3
15600000 360.221 0.972602 49421.1
15900000 339.55 0.975626 49267
16200000 340.055 0.98051 49021.9
16500000 340.344 0.980794 49007.5
16800000 339.756 0.978588 49117.7
17100000 319.898 0.975667 49264.8
17400000 320.137 0.983905 48852.3
17700000 319.979 0.981736 48960.9
18000000 320.222 0.987126 48693
18300000 299.735 0.994194 48346.6
18600000 299.838 0.991253 48489.9
18900000 300.289 0.992318 48438.8
19200000 300.601 0.989649 48569
19500000 279.64 0.995783 48269.5
19800000 280.445 0.997085 48206.6
20100000 279.943 0.998351 48145.6
20400000 279.816 0.995944 48262.4
20700000 260.185 1.00278 47932.5
21000000 260.222 0.994417 48335.7
21300000 259.835 1.00014 48059.1
21600000 260.141 1.00049 48042
21900000 239.824 1.00496 47829
22200000 239.795 1.00061 48036.7
22500000 240.025 1.00252 47945.1
22800000 240.486 1.0062 47769.6
23100000 220.181 1.00975 47601.7
23400000 220.132 1.00675 47743.5
23700000 220.116 1.00853 47659.2
24000000 219.841 1.00933 47621.6
24300000 200.1 1.01242 47476.1
24600000 200.025 1.01298 47450
