# Time-averaged data for fix fDENS
# TimeStep v_Temp v_Rho v_Volume
300000 598.976 0.87155 59781.2
600000 601.48 0.868638 59978.2
900000 599.29 0.843322 61776.6
1200000 598.887 0.862439 60409
1500000 579.457 0.874342 59583.5
1800000 580.516 0.858286 60698.5
2100000 579.538 0.87917 59256.7
2400000 580.82 0.881947 59071.8
2700000 559.43 0.88148 59105.6
3000000 560.226 0.882743 59018.7
3300000 559.156 0.885736 58817.2
3600000 560.234 0.872839 59687.9
3900000 540.443 0.896459 58113.8
4200000 540.987 0.897183 58071.5
4500000 540.553 0.884169 58923.5
4800000 539.973 0.896473 58111.6
5100000 520.278 0.903463 57662.8
5400000 520.332 0.904829 57575.2
5700000 518.863 0.897162 58068.1
6000000 519.37 0.900481 57854
6300000 499.692 0.916098 56867.4
6600000 499.639 0.911762 57137.8
6900000 499.259 0.918627 56712.2
7200000 499.431 0.927452 56171.2
7500000 480.614 0.927298 56181
7800000 480.598 0.926203 56248.8
8100000 480.11 0.932374 55875.4
8400000 480.384 0.929665 56037.9
8700000 460.11 0.943727 55203.2
9000000 459.345 0.944399 55164.2
9300000 459.705 0.930044 56015.4
9600000 460.101 0.944306 55168.1
9900000 441.286 0.94783 54963.3
10200000 440.645 0.952217 54711.5
10500000 440.661 0.955253 54535.7
10800000 440.778 0.951149 54773
11100000 419.515 0.95469 54569
11400000 419.695 0.96044 54241
11700000 420.699 0.95859 54346.4
12000000 419.534 0.966282 53913.4
12300000 400.258 0.962921 54101.3
12600000 399.989 0.972309 53579.9
12900000 400.173 0.973544 53512.7
13200000 400.834 0.964693 54002.8
13500000 380.003 0.98675 52795.3
13800000 380.598 0.979063 53210.2
14100000 379.46 0.973934 53490
14400000 380.042 0.984683 52905.9
14700000 359.736 0.983443 52972.5
15000000 359.706 0.981418 53082.1
15300000 359.321 0.986688 52798
15600000 359.783 0.989879 52627.8
15900000 339.294 0.991863 52522.2
16200000 340.397 0.993255 52448.9
16500000 340.066 0.997326 52234.7
16800000 340.564 1.0014 52022.2
17100000 320.447 1.00167 52008.2
17400000 320.305 1.00861 51650.6
17700000 319.959 1.00807 51678
18000000 319.414 1.00259 51960.2
18300000 300.337 1.01404 51373.2
18600000 300.327 1.01212 51471.4
18900000 299.254 1.01269 51442.4
19200000 300.004 1.0113 51512.6
19500000 280.047 1.01943 51101.6
19800000 279.743 1.02052 51047.6
20100000 279.921 1.01874 51137
20400000 280.348 1.02067 51040
20700000 259.591 1.02463 50842.9
21000000 259.971 1.02686 50732
21300000 259.72 1.02677 50736.5
21600000 260.062 1.02667 50741.4
21900000 239.544 1.03489 50338.4
22200000 240.187 1.03108 50524.9
22500000 239.623 1.03086 50535.4
22800000 240.064 1.0315 50503.9
23100000 219.79 1.03839 50169
23400000 219.755 1.03805 50185.4
23700000 219.714 1.04131 50028
24000000 220.398 1.03756 50208.6
24300000 199.98 1.04584 49811.4
24600000 199.569 1.04425 49887
24900000 200.022 1.04291 49951.8
25200000 199.761 1.0416 50013.8
25500000 180.254 1.05044 49592.9
25800000 179.843 1.0462 49794.1
26100000 180.019 1.04809 49704.2
26400000 180.416 1.04586 49810.6
26700000 159.882 1.05359 49444.8
