# Time-averaged data for fix fDENS
# TimeStep v_Temp v_Rho v_Volume
300000 600.722 1.01728 59169.9
600000 599.525 1.01825 59112.5
900000 600.23 1.02301 58837.2
1200000 601.614 1.02596 58670.2
1500000 579.682 1.03186 58332.8
1800000 579.26 1.0304 58415.6
2100000 580.575 1.03258 58291.8
2400000 579.944 1.03294 58271.3
2700000 560.659 1.0411 57815
3000000 560.164 1.04737 57471.4
3300000 559.981 1.04279 57722.1
3600000 560.564 1.04041 57853.4
3900000 539.538 1.04499 57598.7
4200000 540.097 1.04748 57464
4500000 539.33 1.04751 57460.4
4800000 540.87 1.05073 57284.5
5100000 520.238 1.05549 57027.4
5400000 519.477 1.04907 57375.2
5700000 520.435 1.06375 56584
6000000 520.085 1.05573 57014.1
6300000 500.09 1.07012 56247.2
6600000 500.56 1.06939 56285.3
6900000 501.699 1.07408 56039.8
7200000 500.421 1.07025 56240.3
7500000 479.929 1.08628 55410.6
7800000 480.785 1.07685 55895.4
8100000 480.784 1.07579 55950.3
8400000 480.439 1.07812 55829.1
8700000 460.255 1.07897 55785.1
9000000 460.162 1.08063 55699.8
9300000 459.615 1.08228 55614.3
9600000 459.524 1.07832 55819
9900000 439.933 1.09009 55216.7
10200000 440.663 1.09953 54742.5
10500000 440.275 1.09518 54959.7
10800000 439.894 1.09204 55117.8
11100000 420.052 1.09839 54799.1
11400000 420.08 1.09106 55167.2
11700000 419.294 1.09264 55087.7
12000000 420.629 1.09891 54773
12300000 399.706 1.10524 54458.9
12600000 399.199 1.10848 54299.8
12900000 400.498 1.11249 54103.9
13200000 398.852 1.11222 54117.2
13500000 379.708 1.11231 54112.9
13800000 380.3 1.1108 54187.5
14100000 379.279 1.11744 53865.2
14400000 379.649 1.1161 53929.9
14700000 359.566 1.12458 53522.4
15000000 359.58 1.12313 53591.2
15300000 359.327 1.12864 53329.7
15600000 360.196 1.12385 53557.3
15900000 339.752 1.13463 53048.1
16200000 340.064 1.13184 53178.9
16500000 340.113 1.12472 53515.8
16800000 340.127 1.12913 53306.9
17100000 320.343 1.13227 53158.5
17400000 320.163 1.1316 53190.6
17700000 320.113 1.13731 52922.8
18000000 319.493 1.12937 53295.2
18300000 299.851 1.13708 52934.1
18600000 299.803 1.13982 52806.5
18900000 299.703 1.14023 52788
19200000 299.631 1.14182 52714.3
19500000 279.392 1.14822 52420.3
19800000 280.27 1.14713 52469.7
20100000 279.853 1.1482 52420.9
20400000 279.311 1.14523 52557.4
20700000 259.526 1.15383 52165.1
21000000 260.321 1.15028 52326.7
21300000 259.784 1.14946 52363.8
21600000 260.18 1.1506 52312
21900000 239.899 1.15188 52253.7
22200000 239.786 1.15182 52256.4
22500000 240.331 1.15354 52178.5
22800000 239.825 1.15643 52048.2
23100000 220.13 1.16066 51858
23400000 219.684 1.1635 51731.5
23700000 219.998 1.16202 51797.5
24000000 219.773 1.16109 51839.3
24300000 199.6 1.16464 51681
24600000 199.937 1.16493 51668.3
24900000 199.718 1.16719 51568.3
25200000 200.12 1.16335 51738.5
