# Time-averaged data for fix fDENS
# TimeStep v_Temp v_Rho v_Volume
300000 600.202 0.92322 54893
600000 600.108 0.931713 54392
900000 600.941 0.921849 54972.2
1200000 600.114 0.92588 54733.4
1500000 580.602 0.930463 54469.3
1800000 578.776 0.940764 53867.2
2100000 581.356 0.936555 54110.9
2400000 579.785 0.925104 54780.8
2700000 559.523 0.937604 54050.1
3000000 560.112 0.938552 53995.8
3300000 558.26 0.93614 54134.3
3600000 559.437 0.944812 53637.3
3900000 539.904 0.959109 52837.3
4200000 540.997 0.957863 52906.2
4500000 540.681 0.951576 53255.3
4800000 539.34 0.949031 53397.8
5100000 520.234 0.965996 52459.9
5400000 519.104 0.959722 52803
5700000 520.097 0.961493 52705.8
6000000 520.124 0.953639 53141.3
6300000 499.721 0.967797 52363.2
6600000 499.657 0.969319 52280.2
6900000 499.467 0.962951 52626.1
7200000 499.255 0.972213 52126.7
7500000 479.317 0.983943 51504.1
7800000 480.09 0.98078 51669.4
8100000 479.758 0.973507 52055.7
8400000 479.407 0.968704 52313.4
8700000 459.403 0.984014 51500
9000000 459.623 0.983847 51508.3
9300000 460.414 0.981202 51648.2
9600000 458.579 0.991802 51095.3
9900000 438.99 0.996989 50829.1
10200000 439.197 0.997837 50785.9
10500000 439.977 0.999381 50707.5
10800000 441.15 1.00219 50565
11100000 419.256 1.01252 50050.3
11400000 420.286 1.00104 50623.2
11700000 419.937 1.00578 50384.9
12000000 419.631 1.01097 50126.4
12300000 400.706 1.01067 50140.7
12600000 400.54 1.01502 49926.2
12900000 399.914 1.00883 50232.3
13200000 399.684 1.01287 50032.5
13500000 379.65 1.01839 49761.6
13800000 380.339 1.02073 49647.1
14100000 380.465 1.02574 49404
14400000 380.737 1.0096 50193.9
14700000 359.702 1.02607 49388.4
15000000 359.414 1.03638 48898
15300000 359.753 1.03507 48958.7
15600000 359.725 1.03531 48947.4
15900000 340.545 1.03865 48790
16200000 340.343 1.03955 48747.9
16500000 340.253 1.03766 48836.8
16800000 339.161 1.03954 48749.9
17100000 320.211 1.05088 48222.7
17400000 319.579 1.04649 48424.6
17700000 319.804 1.04846 48333.7
18000000 319.784 1.04347 48564.8
18300000 299.66 1.05048 48240.3
18600000 300.509 1.0522 48161.7
18900000 300.193 1.05053 48238.5
19200000 299.568 1.04966 48278.2
19500000 279.376 1.05418 48071.2
19800000 280.515 1.05549 48011.5
20100000 280.27 1.05828 47884.9
20400000 280.52 1.05613 47982.2
20700000 260.033 1.06319 47663.2
21000000 259.856 1.06535 47567.3
21300000 260.111 1.06704 47491.9
21600000 259.446 1.06985 47366.7
21900000 240.065 1.07061 47333.2
22200000 239.616 1.07377 47193.9
22500000 239.714 1.07299 47228.4
22800000 239.518 1.07285 47234.2
23100000 220.384 1.0721 47267.4
23400000 220.348 1.07428 47171.3
23700000 220.563 1.07261 47245
24000000 220.016 1.07498 47140.8
24300000 199.955 1.07969 46935
24600000 200.122 1.08 46921.6
24900000 199.704 1.07822 46998.8
